Node Number	X Location (m)	Y Location (m)	Z Location (m)	
2050	0,51514	-3,9498e-002	-6,8001e-002	
2051	0,46587	-4,0308e-002	-6,8001e-002	
2052	0,4166	-4,1117e-002	-6,8001e-002	
2053	0,36732	-4,1927e-002	-6,8001e-002	
2054	0,31805	-4,2736e-002	-6,8001e-002	
2055	0,26878	-4,3546e-002	-6,8001e-002	
2056	0,2195	-4,4355e-002	-6,8001e-002	
2057	0,20718	-4,4557e-002	-6,8001e-002	
2058	0,19459	-4,4764e-002	-5,1001e-002	
2059	0,19473	-4,4762e-002	-5,9501e-002	
2060	0,19403	-4,4774e-002	-1,7e-002	
2222	0,19413	0,14425	-1,7e-002	
2223	0,19469	0,14424	-5,1001e-002	
2224	2,5555	9,3458e-002	-7,4001e-002	
2225	2,5058	9,4275e-002	-7,4001e-002	
2226	2,4561	9,5091e-002	-7,4001e-002	
2227	2,4064	9,5907e-002	-7,4001e-002	
2228	2,3567	9,6724e-002	-7,4001e-002	
2229	2,307	9,754e-002	-7,4001e-002	
2230	2,2573	9,8356e-002	-7,4001e-002	
2231	2,2076	9,9173e-002	-7,4001e-002	
2232	2,1579	9,9989e-002	-7,4001e-002	
2233	2,1082	0,10081	-7,4001e-002	
2234	2,0585	0,10162	-7,4001e-002	
2235	2,0088	0,10244	-7,4001e-002	
2236	1,9591	0,10325	-7,4001e-002	
2237	1,9094	0,10407	-7,4001e-002	
2238	1,8597	0,10489	-7,4001e-002	
2239	1,8101	0,1057	-7,4001e-002	
2240	1,7604	0,10652	-7,4001e-002	
2241	1,7107	0,10734	-7,4001e-002	
2242	1,661	0,10815	-7,4001e-002	
2243	1,6113	0,10897	-7,4001e-002	
